"No.","Time","Source","Destination","Protocol","Length","Info"
"41","6.922988","172.16.238.10","172.16.238.2","TCP","64","56807  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"42","6.923022","172.16.238.10","172.16.238.2","TCP","64","56807  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"43","6.923056","172.16.238.10","172.16.238.2","TCP","64","56807  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"44","6.923090","172.16.238.10","172.16.238.2","TCP","64","56807  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"45","6.923132","172.16.238.10","172.16.238.2","TCP","64","56807  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"46","6.923166","172.16.238.10","172.16.238.2","TCP","64","56807  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"47","6.923200","172.16.238.10","172.16.238.2","TCP","64","56807  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"48","6.923233","172.16.238.10","172.16.238.2","TCP","64","56807  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"49","7.026133","172.16.238.10","172.16.238.2","TCP","64","56805  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"50","7.026205","172.16.238.10","172.16.238.2","TCP","64","56805  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"51","7.026235","172.16.238.10","172.16.238.2","TCP","64","56805  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"52","7.026264","172.16.238.10","172.16.238.2","TCP","64","56805  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"53","7.026300","172.16.238.10","172.16.238.2","TCP","64","56805  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"54","7.026328","172.16.238.10","172.16.238.2","TCP","64","56805  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"55","7.026356","172.16.238.10","172.16.238.2","TCP","64","56805  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"56","7.026384","172.16.238.10","172.16.238.2","TCP","64","56805  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"57","7.026413","172.16.238.10","172.16.238.2","TCP","64","56805  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"58","7.026494","172.16.238.2","172.16.238.10","TCP","64","22  >  56805 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"59","7.026512","172.16.238.10","172.16.238.2","TCP","60","56805  >  22 [RST] Seq=1 Win=0 Len=0"
"60","7.026547","172.16.238.10","172.16.238.2","TCP","64","56805  >  553 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"61","7.026582","172.16.238.10","172.16.238.2","TCP","64","56805  >  315 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"62","7.029052","172.16.238.10","172.16.238.2","TCP","64","56805  >  564 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"63","7.029099","172.16.238.10","172.16.238.2","TCP","64","56805  >  669 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"64","7.029130","172.16.238.10","172.16.238.2","TCP","64","56805  >  216 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"65","7.029158","172.16.238.10","172.16.238.2","TCP","64","56805  >  628 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"66","7.029186","172.16.238.10","172.16.238.2","TCP","64","56805  >  565 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"67","7.029214","172.16.238.10","172.16.238.2","TCP","64","56805  >  250 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"68","7.029242","172.16.238.10","172.16.238.2","TCP","64","56805  >  964 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"69","7.029278","172.16.238.10","172.16.238.2","TCP","64","56805  >  945 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"70","7.029306","172.16.238.10","172.16.238.2","TCP","64","56805  >  796 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"71","7.029334","172.16.238.10","172.16.238.2","TCP","64","56805  >  780 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"72","7.029362","172.16.238.10","172.16.238.2","TCP","64","56805  >  709 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"73","7.029391","172.16.238.10","172.16.238.2","TCP","64","56805  >  625 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"74","7.029420","172.16.238.10","172.16.238.2","TCP","64","56805  >  58 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"75","7.117308","fe80::c421:7aff:fe1e:a51a","ff02::fb","MDNS","227","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _pgpkey-hkp._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"76","7.126497","172.16.238.10","172.16.238.2","TCP","64","56807  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"77","7.126567","172.16.238.10","172.16.238.2","TCP","64","56807  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"78","7.126606","172.16.238.10","172.16.238.2","TCP","64","56807  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"79","7.126636","172.16.238.10","172.16.238.2","TCP","64","56807  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"80","7.126664","172.16.238.10","172.16.238.2","TCP","64","56807  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"81","7.126693","172.16.238.10","172.16.238.2","TCP","64","56807  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"82","7.126722","172.16.238.10","172.16.238.2","TCP","64","56807  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"83","7.126750","172.16.238.10","172.16.238.2","TCP","64","56807  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"84","7.128977","172.16.238.10","172.16.238.2","TCP","64","56807  >  315 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"85","7.129026","172.16.238.10","172.16.238.2","TCP","64","56807  >  553 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"86","7.133385","172.16.238.10","172.16.238.2","TCP","64","56807  >  58 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"87","7.133429","172.16.238.10","172.16.238.2","TCP","64","56807  >  625 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"88","7.133461","172.16.238.10","172.16.238.2","TCP","64","56807  >  709 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"89","7.133603","172.16.238.10","172.16.238.2","TCP","64","56807  >  780 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"90","7.134359","172.16.238.10","172.16.238.2","TCP","64","56807  >  796 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"91","7.134394","172.16.238.10","172.16.238.2","TCP","64","56807  >  945 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"92","7.134424","172.16.238.10","172.16.238.2","TCP","64","56807  >  964 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"93","7.134455","172.16.238.10","172.16.238.2","TCP","64","56807  >  250 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"94","7.134491","172.16.238.10","172.16.238.2","TCP","64","56807  >  565 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"95","7.134520","172.16.238.10","172.16.238.2","TCP","64","56807  >  628 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"96","7.134549","172.16.238.10","172.16.238.2","TCP","64","56807  >  216 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"97","7.134578","172.16.238.10","172.16.238.2","TCP","64","56807  >  669 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"98","7.134606","172.16.238.10","172.16.238.2","TCP","64","56807  >  564 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"99","7.226861","172.16.238.10","172.16.238.2","TCP","64","56805  >  943 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"100","7.226973","172.16.238.10","172.16.238.2","TCP","64","56805  >  147 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"101","7.227013","172.16.238.10","172.16.238.2","TCP","64","56805  >  166 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"102","7.227058","172.16.238.10","172.16.238.2","TCP","64","56805  >  792 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"103","7.227088","172.16.238.10","172.16.238.2","TCP","64","56805  >  289 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"104","7.227124","172.16.238.10","172.16.238.2","TCP","64","56805  >  121 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"105","7.227153","172.16.238.10","172.16.238.2","TCP","64","56805  >  918 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"106","7.227182","172.16.238.10","172.16.238.2","TCP","64","56805  >  783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"107","7.229922","172.16.238.10","172.16.238.2","TCP","64","56805  >  146 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"108","7.229968","172.16.238.10","172.16.238.2","TCP","64","56805  >  46 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"109","7.234206","172.16.238.10","172.16.238.2","TCP","64","56805  >  981 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"110","7.234260","172.16.238.10","172.16.238.2","TCP","64","56805  >  938 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"111","7.234291","172.16.238.10","172.16.238.2","TCP","64","56805  >  90 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"112","7.234321","172.16.238.10","172.16.238.2","TCP","64","56805  >  563 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"113","7.239836","172.16.238.10","172.16.238.2","TCP","64","56805  >  174 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"114","7.239886","172.16.238.10","172.16.238.2","TCP","64","56805  >  659 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"115","7.239917","172.16.238.10","172.16.238.2","TCP","64","56805  >  624 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"116","7.239946","172.16.238.10","172.16.238.2","TCP","64","56805  >  309 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"117","7.239976","172.16.238.10","172.16.238.2","TCP","64","56805  >  161 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"118","7.240014","172.16.238.10","172.16.238.2","TCP","64","56805  >  233 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"119","7.240043","172.16.238.10","172.16.238.2","TCP","64","56805  >  285 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"120","7.240072","172.16.238.10","172.16.238.2","TCP","64","56805  >  766 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"121","7.240100","172.16.238.10","172.16.238.2","TCP","64","56805  >  401 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"122","7.328396","172.16.238.10","172.16.238.2","TCP","64","56807  >  783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"123","7.328466","172.16.238.10","172.16.238.2","TCP","64","56807  >  918 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"124","7.328498","172.16.238.10","172.16.238.2","TCP","64","56807  >  121 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"125","7.328528","172.16.238.10","172.16.238.2","TCP","64","56807  >  289 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"126","7.328563","172.16.238.10","172.16.238.2","TCP","64","56807  >  792 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"127","7.328593","172.16.238.10","172.16.238.2","TCP","64","56807  >  166 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"128","7.328621","172.16.238.10","172.16.238.2","TCP","64","56807  >  147 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"129","7.328648","172.16.238.10","172.16.238.2","TCP","64","56807  >  943 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"130","7.331657","172.16.238.10","172.16.238.2","TCP","64","56807  >  46 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"131","7.331856","172.16.238.10","172.16.238.2","TCP","64","56807  >  146 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"132","7.334802","172.16.238.10","172.16.238.2","TCP","64","56807  >  563 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"133","7.334843","172.16.238.10","172.16.238.2","TCP","64","56807  >  90 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"134","7.334881","172.16.238.10","172.16.238.2","TCP","64","56807  >  938 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"135","7.334988","172.16.238.10","172.16.238.2","TCP","64","56807  >  981 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"136","7.341874","172.16.238.10","172.16.238.2","TCP","64","56807  >  401 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"137","7.341930","172.16.238.10","172.16.238.2","TCP","64","56807  >  766 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"138","7.341961","172.16.238.10","172.16.238.2","TCP","64","56807  >  285 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"139","7.341991","172.16.238.10","172.16.238.2","TCP","64","56807  >  233 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"140","7.342020","172.16.238.10","172.16.238.2","TCP","64","56807  >  161 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"141","7.342048","172.16.238.10","172.16.238.2","TCP","64","56807  >  309 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"142","7.342083","172.16.238.10","172.16.238.2","TCP","64","56807  >  624 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"143","7.342111","172.16.238.10","172.16.238.2","TCP","64","56807  >  659 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"144","7.342139","172.16.238.10","172.16.238.2","TCP","64","56807  >  174 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"145","7.428705","172.16.238.10","172.16.238.2","TCP","64","56805  >  6 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"146","7.428776","172.16.238.10","172.16.238.2","TCP","64","56805  >  1 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"147","7.428807","172.16.238.10","172.16.238.2","TCP","64","56805  >  838 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"148","7.428836","172.16.238.10","172.16.238.2","TCP","64","56805  >  359 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"149","7.428864","172.16.238.10","172.16.238.2","TCP","64","56805  >  886 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"150","7.428900","172.16.238.10","172.16.238.2","TCP","64","56805  >  200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"151","7.428929","172.16.238.10","172.16.238.2","TCP","64","56805  >  907 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"152","7.431276","172.16.238.10","172.16.238.2","TCP","64","56805  >  239 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"153","7.433829","172.16.238.10","172.16.238.2","TCP","64","56805  >  40 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"154","7.433868","172.16.238.10","172.16.238.2","TCP","64","56805  >  935 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"155","7.436939","172.16.238.10","172.16.238.2","TCP","64","56805  >  106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"156","7.436979","172.16.238.10","172.16.238.2","TCP","64","56805  >  741 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"157","7.437009","172.16.238.10","172.16.238.2","TCP","64","56805  >  240 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"158","7.437045","172.16.238.10","172.16.238.2","TCP","64","56805  >  402 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"159","7.442340","172.16.238.10","172.16.238.2","TCP","64","56805  >  610 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"160","7.442384","172.16.238.10","172.16.238.2","TCP","64","56805  >  49 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"161","7.442413","172.16.238.10","172.16.238.2","TCP","64","56805  >  348 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"162","7.442442","172.16.238.10","172.16.238.2","TCP","64","56805  >  605 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"163","7.442470","172.16.238.10","172.16.238.2","TCP","64","56805  >  61 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"164","7.442498","172.16.238.10","172.16.238.2","TCP","64","56805  >  326 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"165","7.442526","172.16.238.10","172.16.238.2","TCP","64","56805  >  358 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"166","7.442561","172.16.238.10","172.16.238.2","TCP","64","56805  >  313 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"167","7.442589","172.16.238.10","172.16.238.2","TCP","64","56805  >  177 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"168","7.529150","172.16.238.10","172.16.238.2","TCP","64","56807  >  907 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"169","7.529227","172.16.238.10","172.16.238.2","TCP","64","56807  >  200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"170","7.529262","172.16.238.10","172.16.238.2","TCP","64","56807  >  886 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"171","7.529296","172.16.238.10","172.16.238.2","TCP","64","56807  >  359 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"172","7.529329","172.16.238.10","172.16.238.2","TCP","64","56807  >  838 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"173","7.529360","172.16.238.10","172.16.238.2","TCP","64","56807  >  1 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"174","7.529478","172.16.238.10","172.16.238.2","TCP","64","56807  >  6 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"175","7.533475","172.16.238.10","172.16.238.2","TCP","64","56807  >  239 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"176","7.535714","172.16.238.10","172.16.238.2","TCP","64","56807  >  935 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"177","7.535756","172.16.238.10","172.16.238.2","TCP","64","56807  >  40 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"178","7.538238","172.16.238.10","172.16.238.2","TCP","64","56807  >  402 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"179","7.538286","172.16.238.10","172.16.238.2","TCP","64","56807  >  240 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"180","7.538319","172.16.238.10","172.16.238.2","TCP","64","56807  >  741 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"181","7.538351","172.16.238.10","172.16.238.2","TCP","64","56807  >  106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"182","7.542928","172.16.238.10","172.16.238.2","TCP","64","56807  >  177 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"183","7.542997","172.16.238.10","172.16.238.2","TCP","64","56807  >  313 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"184","7.543030","172.16.238.10","172.16.238.2","TCP","64","56807  >  358 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"185","7.543061","172.16.238.10","172.16.238.2","TCP","64","56807  >  326 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"186","7.543091","172.16.238.10","172.16.238.2","TCP","64","56807  >  61 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
